lon,lat,AOD,albedo,cloud,tp,tp_local,tp_yang_match
-69.75,-51.75,0.0244757602319466,0.133951981144138,0.662846990050855,5,3,5
-69.25,-51.75,0.0244757602319466,0.112632068755035,0.671523882604823,5,3,5
-68.75,-51.75,0.0368709684669499,0.0142614904215448,0.660189692994677,5,3,5
-60.75,-51.75,0.0535477490841256,0.0201667514153863,0.661898415557189,5,3,5
-60.25,-51.75,0.0535477490841256,0.0791507023745042,0.696573567769444,5,3,5
-59.75,-51.75,0.0572224844357539,0.0614346517203958,0.689211537072712,5,3,5
-59.25,-51.75,0.0572224844357539,0.0643103623718536,0.676003648700423,5,3,5
-58.75,-51.75,0.0573460993864203,0.135164319013827,0.704592462466272,5,3,5
-58.25,-51.75,0.0573460993864203,0.0713616357364105,0.678373100684766,5,3,5
-57.75,-51.75,0.0565819342368462,0.0142614904215448,0.659335950180899,5,3,5
-73.75,-51.25,0.0544242914615782,0.278713359625125,0.882095153927214,5,3,5
-73.25,-51.25,0.0544242914615782,0.496332174914773,0.79827595748268,3,5,5
-72.75,-51.25,0.0404895152046389,0.305334055640058,0.659142885249995,5,3,5
-72.25,-51.25,0.0404895152046389,0.258175207734054,0.635644471135897,5,3,5
-71.75,-51.25,0.0329490032139887,0.227647695162648,0.628030363403115,5,3,5
-71.25,-51.25,0.0329490032139887,0.174655052135499,0.627250682069771,5,3,5
-70.75,-51.25,0.0251163104308543,0.129236861034767,0.631704008680706,5,3,5
-70.25,-51.25,0.0251163104308543,0.128686451228226,0.650633751999309,5,3,5
-69.75,-51.25,0.0244757602319466,0.115323019395327,0.643642131782664,5,3,5
-69.25,-51.25,0.0244757602319466,0.0879861845061365,0.640312560578406,5,3,5
-60.75,-51.25,0.0535477490841256,0.0142614904215448,0.608598424492755,5,3,5
-60.25,-51.25,0.0535477490841256,0.0142614904215448,0.603703512102861,5,3,5
-59.75,-51.25,0.0572224844357539,0.0142614904215448,0.604824690561716,5,3,5
-59.25,-51.25,0.0572224844357539,0.0142614904215448,0.616256804189138,5,3,5
-58.75,-51.25,0.0573460993864203,0.0142614904215448,0.621659942228695,5,3,5
-58.25,-51.25,0.0573460993864203,0.0142614904215448,0.629744549095011,5,3,5
-73.75,-50.75,0.0438383565954195,0.609032091281756,0.891770768379484,3,5,5
-73.25,-50.75,0.0438383565954195,0.816703780503414,0.892782684250642,3,5,5
-72.75,-50.75,0.0302069988537523,0.437052080205133,0.75299362418012,5,5,5
-72.25,-50.75,0.0302069988537523,0.382427790505405,0.788285491545389,5,5,5
-71.75,-50.75,0.0207111230980154,0.240535923698572,0.726992684496096,5,3,5
-71.25,-50.75,0.0207111230980154,0.151009590716101,0.635701421682787,5,3,5
-70.75,-50.75,0.0202391387409255,0.125887441492451,0.634964002293741,5,3,5
-70.25,-50.75,0.0202391387409255,0.123959270624917,0.650494184505212,5,3,5
-69.75,-50.75,0.0260153282538826,0.131818337349099,0.655743324142864,5,3,5
-69.25,-50.75,0.0260153282538826,0.0717805651955863,0.649935296061348,5,3,5
-74.75,-50.25,0.0591666104780527,0.101360240971415,0.82948068252267,5,3,5
-74.25,-50.25,0.0591666104780527,0.344567629712106,0.860734111876515,5,5,5
-73.75,-50.25,0.0438383565954195,0.847179701168442,0.917229672858407,3,5,5
-73.25,-50.25,0.0438383565954195,0.613702345169351,0.783009139338726,3,5,5
-72.75,-50.25,0.0302069988537523,0.3003317881716,0.641253971157125,5,3,5
-72.25,-50.25,0.0302069988537523,0.17255082070911,0.58956735558575,5,3,5
-71.75,-50.25,0.0207111230980154,0.169553115586779,0.569210910874391,5,3,5
-71.25,-50.25,0.0207111230980154,0.182093319961391,0.606519342989114,5,3,5
-70.75,-50.25,0.0202391387409255,0.152250187770368,0.610264627416187,5,3,5
-70.25,-50.25,0.0202391387409255,0.132211323329238,0.623802725882523,5,3,5
-69.75,-50.25,0.0260153282538826,0.126158783878821,0.628456178261396,5,3,5
-69.25,-50.25,0.0260153282538826,0.123816033407293,0.636696020464573,5,3,5
-68.75,-50.25,0.0353314004450138,0.0750439898797442,0.631930522394353,5,3,5
-68.25,-50.25,0.0353314004450138,0.0142614904215448,0.591251030215422,5,3,5
-74.75,-49.75,0.054907513541456,0.23862327041536,0.853187674793565,5,3,5
-74.25,-49.75,0.054907513541456,0.469113096037632,0.838366307850304,5,5,5
-73.75,-49.75,0.0395680219360349,0.941275774574069,0.883608853078477,3,5,5
-73.25,-49.75,0.0395680219360349,0.712797755713071,0.839011781741023,3,5,5
-72.75,-49.75,0.031308295686962,0.241292602105171,0.641293965387339,5,3,5
-72.25,-49.75,0.031308295686962,0.247185134237106,0.54281832666022,5,3,5
-71.75,-49.75,0.0191603173532915,0.175950634138755,0.539298937479316,5,3,5
-71.25,-49.75,0.0191603173532915,0.191284293552806,0.583695006886571,5,3,5
-70.75,-49.75,0.0237453082507361,0.176558731383993,0.618556936277041,5,3,5
-70.25,-49.75,0.0237453082507361,0.144882536018498,0.620982617262883,5,3,5
-69.75,-49.75,0.0337805947002899,0.131577333533767,0.617829360828679,5,3,5
-69.25,-49.75,0.0337805947002899,0.128727450722365,0.613431129362201,5,3,5
-68.75,-49.75,0.0349605555930146,0.111729352695016,0.614381920030996,5,3,5
-68.25,-49.75,0.0349605555930146,0.116324170054185,0.591795333134608,5,3,5
-67.75,-49.75,0.0370507720315555,0.0622233733414136,0.586214901084824,5,3,5
-67.25,-49.75,0.0370507720315555,0.0142614904215448,0.570368115063813,5,3,5
-74.75,-49.25,0.054907513541456,0.281295188304799,0.850992527559974,5,3,5
-74.25,-49.25,0.054907513541456,0.334482683209174,0.83142535042786,5,5,5
-73.75,-49.25,0.0395680219360349,0.842613871304566,0.848143969436368,3,5,5
-73.25,-49.25,0.0395680219360349,0.894495852703022,0.849921032655147,3,5,5
-72.75,-49.25,0.031308295686962,0.450978732022439,0.658910702251138,3,5,5
-72.25,-49.25,0.031308295686962,0.360457457314587,0.641914339806261,5,5,5
-71.75,-49.25,0.0191603173532915,0.242021549917006,0.547280827205405,5,3,5
-71.25,-49.25,0.0191603173532915,0.167155377100805,0.553950483561038,5,3,5
-70.75,-49.25,0.0237453082507361,0.157685602689443,0.575433157548985,5,3,5
-70.25,-49.25,0.0237453082507361,0.140797652680626,0.588192966233802,5,3,5
-69.75,-49.25,0.0337805947002899,0.129007372040416,0.604017435886666,5,3,5
-69.25,-49.25,0.0337805947002899,0.125486352456651,0.615758834791811,5,3,5
-68.75,-49.25,0.0349605555930146,0.121193387898961,0.619725994426448,5,3,5
-68.25,-49.25,0.0349605555930146,0.122845516899521,0.603096795507401,5,3,5
-67.75,-49.25,0.0370507720315555,0.0676992772593481,0.590737908364895,5,3,5
-67.25,-49.25,0.0370507720315555,0.0142614904215448,0.578652486925372,5,3,5
-74.75,-48.75,0.0531656665093385,0.0959443625578554,0.816960375368528,5,3,5
-74.25,-48.75,0.0531656665093385,0.141637102920391,0.810080594687403,5,3,5
-73.75,-48.75,0.0463106556087474,0.757662057389333,0.842716298853535,3,5,5
-73.25,-48.75,0.0463106556087474,0.833423966891625,0.846178789026506,3,5,5
-72.75,-48.75,0.0317016159845369,0.27690272007413,0.78130732299638,5,3,5
-72.25,-48.75,0.0317016159845369,0.401321389018857,0.835672881985646,5,5,5
-71.75,-48.75,0.0258692378576405,0.420199555206355,0.77204515405284,5,5,5
-71.25,-48.75,0.0258692378576405,0.19617209153158,0.670299316999307,5,3,5
-70.75,-48.75,0.0206099835929247,0.173100713939514,0.586451877206632,5,3,5
-70.25,-48.75,0.0206099835929247,0.15868576841958,0.622457507579931,5,3,5
-69.75,-48.75,0.021902321713528,0.151359653157582,0.620820321088987,5,3,5
-69.25,-48.75,0.021902321713528,0.156426233124405,0.615714614367167,5,3,5
-68.75,-48.75,0.0250039332029757,0.130360243341791,0.60430878560754,5,3,5
-68.25,-48.75,0.0250039332029757,0.123287904869504,0.592484408982493,5,3,5
-67.75,-48.75,0.0282066841975142,0.11392213286883,0.5813233387271,5,3,5
-67.25,-48.75,0.0282066841975142,0.0453996951633835,0.568721136171141,5,3,5
-66.75,-48.75,0.035241498662711,0.0158830576056656,0.567101472925394,5,3,5
-74.75,-48.25,0.0531656665093385,0.0847496104923639,0.806137297589607,5,3,5
-74.25,-48.25,0.0531656665093385,0.179278647275248,0.822995381014298,5,3,5
-73.75,-48.25,0.0463106556087474,0.338318650738944,0.823393622530873,5,5,5
-73.25,-48.25,0.0463106556087474,0.434145115904365,0.822459942795624,5,5,5
-72.75,-48.25,0.0317016159845369,0.468470622743189,0.833442585183748,5,5,5
-72.25,-48.25,0.0317016159845369,0.389021789361794,0.804211492942481,5,5,5
-71.75,-48.25,0.0258692378576405,0.348478577178557,0.638182919358477,5,5,5
-71.25,-48.25,0.0258692378576405,0.242063773040382,0.551387812028922,5,3,5
-70.75,-48.25,0.0206099835929247,0.186782159842528,0.561012866764904,5,3,5
-70.25,-48.25,0.0206099835929247,0.174703706926731,0.584417067666591,5,3,5
-69.75,-48.25,0.021902321713528,0.174274668873015,0.619058925712972,5,3,5
-69.25,-48.25,0.021902321713528,0.174317982235965,0.631436882269368,5,3,5
-68.75,-48.25,0.0250039332029757,0.148413710309717,0.615145211976185,5,3,5
-68.25,-48.25,0.0250039332029757,0.151028359470028,0.583203119086106,5,3,5
-67.75,-48.25,0.0282066841975142,0.134450661848546,0.577526618421479,5,3,5
-67.25,-48.25,0.0282066841975142,0.14687102848798,0.571982263641218,5,3,5
-66.75,-48.25,0.035241498662711,0.107311699777764,0.564435311168704,5,3,5
-66.25,-48.25,0.035241498662711,0.054372579653749,0.54659247290291,5,3,5
-74.75,-47.75,0.0531656665093385,0.0216159589112361,0.733711663633062,5,3,5
-74.25,-47.75,0.0531656665093385,0.0995737025529715,0.808250807116164,5,3,5
-73.75,-47.75,0.0446699480817207,0.239308569162771,0.830851309530796,5,3,5
-73.25,-47.75,0.0446699480817207,0.319912044765266,0.802645172516671,5,5,5
-72.75,-47.75,0.0324545434113231,0.447707948434384,0.817635793392951,5,5,5
-72.25,-47.75,0.0324545434113231,0.517635027623052,0.793124896479174,3,5,5
-71.75,-47.75,0.0208684512170454,0.39605063967197,0.651381015329039,5,5,5
-71.25,-47.75,0.0208684512170454,0.241884796798428,0.552246141809825,5,3,5
-70.75,-47.75,0.0168565841817814,0.189224996600561,0.53620221928035,5,3,5
-70.25,-47.75,0.0168565841817814,0.158416458604837,0.57390827444417,5,3,5
-69.75,-47.75,0.0171150518059021,0.171021452594465,0.607398855281123,5,3,5
-69.25,-47.75,0.0171150518059021,0.163563070634245,0.611019621589385,5,3,5
-68.75,-47.75,0.0213966241880745,0.161642184213687,0.615338792296653,5,3,5
-68.25,-47.75,0.0213966241880745,0.148267016835059,0.586925571755466,5,3,5
-67.75,-47.75,0.0231834221113434,0.148672930886612,0.569357642283436,5,3,5
-67.25,-47.75,0.0231834221113434,0.140848384266232,0.562523731273562,5,3,5
-66.75,-47.75,0.0276785112264851,0.13027363911018,0.553551108187421,5,3,5
-66.25,-47.75,0.0276785112264851,0.102293428952471,0.544183748233744,5,3,5
-65.75,-47.75,0.040792933719911,0.0315991980070557,0.532633301162287,5,3,5
-74.25,-47.25,0.0531656665093385,0.106636467144677,0.771423027309398,5,3,5
-73.75,-47.25,0.0446699480817207,0.700079542368415,0.847293885888498,3,5,5
-73.25,-47.25,0.0446699480817207,0.523858240448852,0.71264573364706,3,5,5
-72.75,-47.25,0.0324545434113231,0.189609688493275,0.605242516881746,5,3,5
-72.25,-47.25,0.0324545434113231,0.299212908387166,0.644293944965027,5,3,5
-71.75,-47.25,0.0208684512170454,0.247197431237076,0.538249604325768,5,3,5
-71.25,-47.25,0.0208684512170454,0.235361382615897,0.518582802390815,5,3,5
-70.75,-47.25,0.0168565841817814,0.175737293772728,0.53665761749964,5,3,5
-70.25,-47.25,0.0168565841817814,0.18843372376668,0.591313856203348,5,3,5
